# patch_no npixels trigger_trace_idx fadc_addr trigger_addr pdp_addr sector_no patch_x patch_y patch_q patch_r pixel_0 pixel_1 pixel_2 neighbours_0 neighbours_1 neighbours_2 neighbours_3 neighbours_4 neighbours_5 
0x110 3 0 0x11 0x10 0x10 0 -25.000000 43.301270 0.333333 0.333333 0x107 0x109 0x10b 0x910 0x914 0x510 0x111 0x114 0x115 
0x111 3 0 0x11 0x10 0x10 0 -100.000000 86.602540 -0.666667 2.333333 0x104 0x105 0x106 0x914 0x920 0x110 0x112 0x115 0x116 
0x114 3 0 0x11 0x10 0x10 0 50.000000 86.602540 2.333333 -0.666667 0x103 0x108 0x10a 0x510 0x110 0x511 0x115 0x120 0x121 
0x115 3 0 0x11 0x10 0x10 0 -25.000000 129.903811 1.333333 1.333333 0x100 0x101 0x102 0x110 0x111 0x114 0x116 0x121 0x122 
0x112 3 0 0x11 0x10 0x11 0 -175.000000 129.903811 -1.666667 4.333333 0x117 0x119 0x11b 0x920 0x924 0x111 0x113 0x116 0x117 
0x113 3 0 0x11 0x10 0x11 0 -250.000000 173.205081 -2.666667 6.333333 0x114 0x115 0x116 0x924 0x930 0x112 0x210 0x117 0x214 
0x116 3 0 0x11 0x10 0x11 0 -100.000000 173.205081 0.333333 3.333333 0x113 0x118 0x11a 0x111 0x112 0x115 0x117 0x122 0x123 
0x117 3 0 0x11 0x10 0x11 0 -175.000000 216.506351 -0.666667 5.333333 0x110 0x111 0x112 0x112 0x113 0x116 0x214 0x123 0x220 
0x120 3 1 0x12 0x10 0x12 0 125.000000 129.903811 4.333333 -1.666667 0x127 0x129 0x12b 0x511 0x114 0x512 0x121 0x124 0x125 
0x121 3 1 0x12 0x10 0x12 0 50.000000 173.205081 3.333333 0.333333 0x124 0x125 0x126 0x114 0x115 0x120 0x122 0x125 0x126 
0x124 3 1 0x12 0x10 0x12 0 200.000000 173.205081 6.333333 -2.666667 0x123 0x128 0x12a 0x512 0x120 0x513 0x125 0x130 0x131 
0x125 3 1 0x12 0x10 0x12 0 125.000000 216.506351 5.333333 -0.666667 0x120 0x121 0x122 0x120 0x121 0x124 0x126 0x131 0x132 
0x122 3 1 0x12 0x10 0x13 0 -25.000000 216.506351 2.333333 2.333333 0x137 0x139 0x13b 0x115 0x116 0x121 0x123 0x126 0x127 
0x123 3 1 0x12 0x10 0x13 0 -100.000000 259.807621 1.333333 4.333333 0x134 0x135 0x136 0x116 0x117 0x122 0x220 0x127 0x224 
0x126 3 1 0x12 0x10 0x13 0 50.000000 259.807621 4.333333 1.333333 0x133 0x138 0x13a 0x121 0x122 0x125 0x127 0x132 0x133 
0x127 3 1 0x12 0x10 0x13 0 -25.000000 303.108891 3.333333 3.333333 0x130 0x131 0x132 0x122 0x123 0x126 0x224 0x133 0x230 
0x130 3 2 0x13 0x10 0x14 0 275.000000 216.506351 8.333333 -3.666667 0x147 0x149 0x14b 0x513 0x124 0x610 0x131 0x134 0x135 
0x131 3 2 0x13 0x10 0x14 0 200.000000 259.807621 7.333333 -1.666667 0x144 0x145 0x146 0x124 0x125 0x130 0x132 0x135 0x136 
0x134 3 2 0x13 0x10 0x14 0 350.000000 259.807621 10.333333 -4.666667 0x143 0x148 0x14a 0x610 0x130 0x611 0x135 0x140 0x141 
0x135 3 2 0x13 0x10 0x14 0 275.000000 303.108891 9.333333 -2.666667 0x140 0x141 0x142 0x130 0x131 0x134 0x136 0x141 0x142 
0x132 3 2 0x13 0x10 0x15 0 125.000000 303.108891 6.333333 0.333333 0x157 0x159 0x15b 0x125 0x126 0x131 0x133 0x136 0x137 
0x133 3 2 0x13 0x10 0x15 0 50.000000 346.410162 5.333333 2.333333 0x154 0x155 0x156 0x126 0x127 0x132 0x230 0x137 0x234 
0x136 3 2 0x13 0x10 0x15 0 200.000000 346.410162 8.333333 -0.666667 0x153 0x158 0x15a 0x131 0x132 0x135 0x137 0x142 0x143 
0x137 3 2 0x13 0x10 0x15 0 125.000000 389.711432 7.333333 1.333333 0x150 0x151 0x152 0x132 0x133 0x136 0x234 0x143 0x240 
0x140 3 3 0x14 0x10 0x16 0 425.000000 303.108891 12.333333 -5.666667 0x167 0x169 0x16b 0x611 0x134 0x612 0x141 0x144 0x145 
0x141 3 3 0x14 0x10 0x16 0 350.000000 346.410162 11.333333 -3.666667 0x164 0x165 0x166 0x134 0x135 0x140 0x142 0x145 0x146 
0x144 3 3 0x14 0x10 0x16 0 500.000000 346.410162 14.333333 -6.666667 0x163 0x168 0x16a 0x612 0x140 0x613 0x145 0x150 0x151 
0x145 3 3 0x14 0x10 0x16 0 425.000000 389.711432 13.333333 -4.666667 0x160 0x161 0x162 0x140 0x141 0x144 0x146 0x151 0x152 
0x142 3 3 0x14 0x10 0x17 0 275.000000 389.711432 10.333333 -1.666667 0x177 0x179 0x17b 0x135 0x136 0x141 0x143 0x146 0x147 
0x143 3 3 0x14 0x10 0x17 0 200.000000 433.012702 9.333333 0.333333 0x174 0x175 0x176 0x136 0x137 0x142 0x240 0x147 0x244 
0x146 3 3 0x14 0x10 0x17 0 350.000000 433.012702 12.333333 -2.666667 0x173 0x178 0x17a 0x141 0x142 0x145 0x147 0x152 0x153 
0x147 3 3 0x14 0x10 0x17 0 275.000000 476.313972 11.333333 -0.666667 0x170 0x171 0x172 0x142 0x143 0x146 0x244 0x153 0x250 
0x150 3 4 0x15 0x10 0x18 0 575.000000 389.711432 16.333333 -7.666667 0x187 0x189 0x18b 0x613 0x144 0x710 0x151 0x154 0x155 
0x151 3 4 0x15 0x10 0x18 0 500.000000 433.012702 15.333333 -5.666667 0x184 0x185 0x186 0x144 0x145 0x150 0x152 0x155 0x156 
0x154 3 4 0x15 0x10 0x18 0 650.000000 433.012702 18.333333 -8.666667 0x183 0x188 0x18a 0x710 0x150 0x711 0x155 0x160 0x161 
0x155 3 4 0x15 0x10 0x18 0 575.000000 476.313972 17.333333 -6.666667 0x180 0x181 0x182 0x150 0x151 0x154 0x156 0x161 0x162 
0x152 3 4 0x15 0x10 0x19 0 425.000000 476.313972 14.333333 -3.666667 0x197 0x199 0x19b 0x145 0x146 0x151 0x153 0x156 0x157 
0x153 3 4 0x15 0x10 0x19 0 350.000000 519.615242 13.333333 -1.666667 0x194 0x195 0x196 0x146 0x147 0x152 0x250 0x157 0x254 
0x156 3 4 0x15 0x10 0x19 0 500.000000 519.615242 16.333333 -4.666667 0x193 0x198 0x19a 0x151 0x152 0x155 0x157 0x162 0x163 
0x157 3 4 0x15 0x10 0x19 0 425.000000 562.916512 15.333333 -2.666667 0x190 0x191 0x192 0x152 0x153 0x156 0x254 0x163 0x260 
0x160 3 5 0x16 0x10 0x1a 0 725.000000 476.313972 20.333333 -9.666667 0x1a7 0x1a9 0x1ab 0x711 0x154 0x712 0x161 0x164 0x165 
0x161 3 5 0x16 0x10 0x1a 0 650.000000 519.615242 19.333333 -7.666667 0x1a4 0x1a5 0x1a6 0x154 0x155 0x160 0x162 0x165 0x166 
0x164 3 5 0x16 0x10 0x1a 0 800.000000 519.615242 22.333333 -10.666667 0x1a3 0x1a8 0x1aa 0x712 0x160 0x713 0x165 0x170 0x171 
0x165 3 5 0x16 0x10 0x1a 0 725.000000 562.916512 21.333333 -8.666667 0x1a0 0x1a1 0x1a2 0x160 0x161 0x164 0x166 0x171 0x172 
0x162 3 5 0x16 0x10 0x1b 0 575.000000 562.916512 18.333333 -5.666667 0x1b7 0x1b9 0x1bb 0x155 0x156 0x161 0x163 0x166 0x167 
0x163 3 5 0x16 0x10 0x1b 0 500.000000 606.217783 17.333333 -3.666667 0x1b4 0x1b5 0x1b6 0x156 0x157 0x162 0x260 0x167 0x264 
0x166 3 5 0x16 0x10 0x1b 0 650.000000 606.217783 20.333333 -6.666667 0x1b3 0x1b8 0x1ba 0x161 0x162 0x165 0x167 0x172 0x173 
0x167 3 5 0x16 0x10 0x1b 0 575.000000 649.519053 19.333333 -4.666667 0x1b0 0x1b1 0x1b2 0x162 0x163 0x166 0x264 0x173 0x270 
0x170 3 6 0x17 0x10 0x1c 0 875.000000 562.916512 24.333333 -11.666667 0x1c7 0x1c9 0x1cb 0x713 0x164 0x810 0x171 0x174 0x175 
0x171 3 6 0x17 0x10 0x1c 0 800.000000 606.217783 23.333333 -9.666667 0x1c4 0x1c5 0x1c6 0x164 0x165 0x170 0x172 0x175 0x176 
0x174 3 6 0x17 0x10 0x1c 0 950.000000 606.217783 26.333333 -12.666667 0x1c3 0x1c8 0x1ca 0x810 0x170 0x811 0x175 0 0 
0x175 3 6 0x17 0x10 0x1c 0 875.000000 649.519053 25.333333 -10.666667 0x1c0 0x1c1 0x1c2 0x170 0x171 0x174 0x176 0 0 
0x172 3 6 0x17 0x10 0x1d 0 725.000000 649.519053 22.333333 -7.666667 0x1d7 0x1d9 0x1db 0x165 0x166 0x171 0x173 0x176 0x177 
0x173 3 6 0x17 0x10 0x1d 0 650.000000 692.820323 21.333333 -5.666667 0x1d4 0x1d5 0x1d6 0x166 0x167 0x172 0x270 0x177 0x274 
0x176 3 6 0x17 0x10 0x1d 0 800.000000 692.820323 24.333333 -8.666667 0x1d3 0x1d8 0x1da 0x171 0x172 0x175 0x177 0 0 
0x177 3 6 0x17 0x10 0x1d 0 725.000000 736.121593 23.333333 -6.666667 0x1d0 0x1d1 0x1d2 0x172 0x173 0x176 0x274 0 0 
0x210 3 8 0x21 0x20 0x20 0 -325.000000 216.506351 -3.666667 8.333333 0x207 0x209 0x20b 0x930 0x934 0x113 0x211 0x214 0x215 
0x211 3 8 0x21 0x20 0x20 0 -400.000000 259.807621 -4.666667 10.333333 0x204 0x205 0x206 0x934 0x940 0x210 0x212 0x215 0x216 
0x214 3 8 0x21 0x20 0x20 0 -250.000000 259.807621 -1.666667 7.333333 0x203 0x208 0x20a 0x113 0x210 0x117 0x215 0x220 0x221 
0x215 3 8 0x21 0x20 0x20 0 -325.000000 303.108891 -2.666667 9.333333 0x200 0x201 0x202 0x210 0x211 0x214 0x216 0x221 0x222 
0x212 3 8 0x21 0x20 0x21 0 -475.000000 303.108891 -5.666667 12.333333 0x217 0x219 0x21b 0x940 0x944 0x211 0x213 0x216 0x217 
0x213 3 8 0x21 0x20 0x21 0 -550.000000 346.410162 -6.666667 14.333333 0x214 0x215 0x216 0x944 0x950 0x212 0x310 0x217 0x314 
0x216 3 8 0x21 0x20 0x21 0 -400.000000 346.410162 -3.666667 11.333333 0x213 0x218 0x21a 0x211 0x212 0x215 0x217 0x222 0x223 
0x217 3 8 0x21 0x20 0x21 0 -475.000000 389.711432 -4.666667 13.333333 0x210 0x211 0x212 0x212 0x213 0x216 0x314 0x223 0x320 
0x220 3 9 0x22 0x20 0x22 0 -175.000000 303.108891 0.333333 6.333333 0x227 0x229 0x22b 0x117 0x214 0x123 0x221 0x224 0x225 
0x221 3 9 0x22 0x20 0x22 0 -250.000000 346.410162 -0.666667 8.333333 0x224 0x225 0x226 0x214 0x215 0x220 0x222 0x225 0x226 
0x224 3 9 0x22 0x20 0x22 0 -100.000000 346.410162 2.333333 5.333333 0x223 0x228 0x22a 0x123 0x220 0x127 0x225 0x230 0x231 
0x225 3 9 0x22 0x20 0x22 0 -175.000000 389.711432 1.333333 7.333333 0x220 0x221 0x222 0x220 0x221 0x224 0x226 0x231 0x232 
0x222 3 9 0x22 0x20 0x23 0 -325.000000 389.711432 -1.666667 10.333333 0x237 0x239 0x23b 0x215 0x216 0x221 0x223 0x226 0x227 
0x223 3 9 0x22 0x20 0x23 0 -400.000000 433.012702 -2.666667 12.333333 0x234 0x235 0x236 0x216 0x217 0x222 0x320 0x227 0x324 
0x226 3 9 0x22 0x20 0x23 0 -250.000000 433.012702 0.333333 9.333333 0x233 0x238 0x23a 0x221 0x222 0x225 0x227 0x232 0x233 
0x227 3 9 0x22 0x20 0x23 0 -325.000000 476.313972 -0.666667 11.333333 0x230 0x231 0x232 0x222 0x223 0x226 0x324 0x233 0x330 
0x230 3 10 0x23 0x20 0x24 0 -25.000000 389.711432 4.333333 4.333333 0x247 0x249 0x24b 0x127 0x224 0x133 0x231 0x234 0x235 
0x231 3 10 0x23 0x20 0x24 0 -100.000000 433.012702 3.333333 6.333333 0x244 0x245 0x246 0x224 0x225 0x230 0x232 0x235 0x236 
0x234 2 10 0x23 0x20 0x24 0 50.000000 433.012702 6.333333 3.333333 0x243 0x248 0x24a 0x133 0x230 0x137 0x235 0x240 0x241 
0x235 3 10 0x23 0x20 0x24 0 -25.000000 476.313972 5.333333 5.333333 0x240 0x241 0x242 0x230 0x231 0x234 0x236 0x241 0x242 
0x232 3 10 0x23 0x20 0x25 0 -175.000000 476.313972 2.333333 8.333333 0x257 0x259 0x25b 0x225 0x226 0x231 0x233 0x236 0x237 
0x233 3 10 0x23 0x20 0x25 0 -250.000000 519.615242 1.333333 10.333333 0x254 0x255 0x256 0x226 0x227 0x232 0x330 0x237 0x334 
0x236 3 10 0x23 0x20 0x25 0 -100.000000 519.615242 4.333333 7.333333 0x253 0x258 0x25a 0x231 0x232 0x235 0x237 0x242 0x243 
0x237 3 10 0x23 0x20 0x25 0 -175.000000 562.916512 3.333333 9.333333 0x250 0x251 0x252 0x232 0x233 0x236 0x334 0x243 0x340 
0x240 3 11 0x24 0x20 0x26 0 125.000000 476.313972 8.333333 2.333333 0x267 0x269 0x26b 0x137 0x234 0x143 0x241 0x244 0x245 
0x241 3 11 0x24 0x20 0x26 0 50.000000 519.615242 7.333333 4.333333 0x264 0x265 0x266 0x234 0x235 0x240 0x242 0x245 0x246 
0x244 3 11 0x24 0x20 0x26 0 200.000000 519.615242 10.333333 1.333333 0x263 0x268 0x26a 0x143 0x240 0x147 0x245 0x250 0x251 
0x245 3 11 0x24 0x20 0x26 0 125.000000 562.916512 9.333333 3.333333 0x260 0x261 0x262 0x240 0x241 0x244 0x246 0x251 0x252 
0x242 3 11 0x24 0x20 0x27 0 -25.000000 562.916512 6.333333 6.333333 0x277 0x279 0x27b 0x235 0x236 0x241 0x243 0x246 0x247 
0x243 3 11 0x24 0x20 0x27 0 -100.000000 606.217783 5.333333 8.333333 0x274 0x275 0x276 0x236 0x237 0x242 0x340 0x247 0x344 
0x246 3 11 0x24 0x20 0x27 0 50.000000 606.217783 8.333333 5.333333 0x273 0x278 0x27a 0x241 0x242 0x245 0x247 0x252 0x253 
0x247 3 11 0x24 0x20 0x27 0 -25.000000 649.519053 7.333333 7.333333 0x270 0x271 0x272 0x242 0x243 0x246 0x344 0x253 0x350 
