# pixel_no sector_no crate_no pdp_addr pdp_chan pdp_gchan fadc_addr fadc_chan trigger_addr three_pixel_patch four_pixel_patch trace_idx has_pixel ring pixel_x pixel_y pixel_w pixel_q pixel_r pdp_board_rev pixel_dynodes pixel_hv_offset pixel_hv_setpoint pixel_gain_exponent pixel_preamp_gain 
0x100 0 0 0x10 3 3 0x11 0 0x10 5 0 0 1 3 -50.000000 144.337567 50.000000 1.000000 2.000000 0 0 0.000000 0.000000 0.000000 0
0x101 0 0 0x10 1 1 0x11 1 0x10 5 0 1 1 2 -25.000000 101.036297 50.000000 1.000000 1.000000 0 0 0.000000 0.000000 0.000000 0
0x102 0 0 0x10 2 2 0x11 2 0x10 5 0 2 1 3 0.000000 144.337567 50.000000 2.000000 1.000000 0 0 0.000000 0.000000 0.000000 0
0x103 0 0 0x10 0 0 0x11 3 0x10 4 0 3 1 2 25.000000 101.036297 50.000000 2.000000 0.000000 0 0 0.000000 0.000000 0.000000 0
0x104 0 0 0x10 7 7 0x11 4 0x10 1 1 4 1 3 -125.000000 101.036297 50.000000 -1.000000 3.000000 0 0 0.000000 0.000000 0.000000 0
0x105 0 0 0x10 5 5 0x11 5 0x10 1 1 5 1 2 -100.000000 57.735027 50.000000 -1.000000 2.000000 0 0 0.000000 0.000000 0.000000 0
0x106 0 0 0x10 6 6 0x11 6 0x10 1 1 6 1 2 -75.000000 101.036297 50.000000 0.000000 2.000000 0 0 0.000000 0.000000 0.000000 0
0x107 0 0 0x10 4 4 0x11 7 0x10 0 1 7 1 1 -50.000000 57.735027 50.000000 0.000000 1.000000 0 0 0.000000 0.000000 0.000000 0
0x108 0 0 0x10 11 11 0x11 8 0x10 4 2 8 1 2 75.000000 101.036297 50.000000 3.000000 -1.000000 0 0 0.000000 0.000000 0.000000 0
0x109 0 0 0x10 9 9 0x11 9 0x10 0 2 9 1 0 -25.000000 14.433757 50.000000 0.000000 0.000000 0 0 0.000000 0.000000 0.000000 0
0x10a 0 0 0x10 10 10 0x11 10 0x10 4 2 10 1 1 50.000000 57.735027 50.000000 2.000000 -1.000000 0 0 0.000000 0.000000 0.000000 0
0x10b 0 0 0x10 8 8 0x11 11 0x10 0 2 11 1 1 0.000000 57.735027 50.000000 1.000000 0.000000 0 0 0.000000 0.000000 0.000000 0
0x110 0 0 0x11 3 15 0x11 12 0x10 7 0 12 1 6 -200.000000 230.940108 50.000000 -1.000000 6.000000 0 0 0.000000 0.000000 0.000000 0
0x111 0 0 0x11 1 13 0x11 13 0x10 7 0 13 1 5 -175.000000 187.638837 50.000000 -1.000000 5.000000 0 0 0.000000 0.000000 0.000000 0
0x112 0 0 0x11 2 14 0x11 14 0x10 7 0 14 1 5 -150.000000 230.940108 50.000000 0.000000 5.000000 0 0 0.000000 0.000000 0.000000 0
0x113 0 0 0x11 0 12 0x11 15 0x10 6 0 15 1 4 -125.000000 187.638837 50.000000 0.000000 4.000000 0 0 0.000000 0.000000 0.000000 0
0x114 0 0 0x11 7 19 0x11 16 0x10 3 1 16 1 7 -275.000000 187.638837 50.000000 -3.000000 7.000000 0 0 0.000000 0.000000 0.000000 0
0x115 0 0 0x11 5 17 0x11 17 0x10 3 1 17 1 6 -250.000000 144.337567 50.000000 -3.000000 6.000000 0 0 0.000000 0.000000 0.000000 0
0x116 0 0 0x11 6 18 0x11 18 0x10 3 1 18 1 6 -225.000000 187.638837 50.000000 -2.000000 6.000000 0 0 0.000000 0.000000 0.000000 0
0x117 0 0 0x11 4 16 0x11 19 0x10 2 1 19 1 5 -200.000000 144.337567 50.000000 -2.000000 5.000000 0 0 0.000000 0.000000 0.000000 0
0x118 0 0 0x11 11 23 0x11 20 0x10 6 2 20 1 4 -75.000000 187.638837 50.000000 1.000000 3.000000 0 0 0.000000 0.000000 0.000000 0
0x119 0 0 0x11 9 21 0x11 21 0x10 2 2 21 1 4 -175.000000 101.036297 50.000000 -2.000000 4.000000 0 0 0.000000 0.000000 0.000000 0
0x11a 0 0 0x11 10 22 0x11 22 0x10 6 2 22 1 3 -100.000000 144.337567 50.000000 0.000000 3.000000 0 0 0.000000 0.000000 0.000000 0
0x11b 0 0 0x11 8 20 0x11 23 0x10 2 2 23 1 4 -150.000000 144.337567 50.000000 -1.000000 4.000000 0 0 0.000000 0.000000 0.000000 0
0x120 0 0 0x12 3 27 0x12 0 0x10 5 0 24 1 5 100.000000 230.940108 50.000000 5.000000 0.000000 0 0 0.000000 0.000000 0.000000 0
0x121 0 0 0x12 1 25 0x12 1 0x10 5 0 25 1 4 125.000000 187.638837 50.000000 5.000000 -1.000000 0 0 0.000000 0.000000 0.000000 0
0x122 0 0 0x12 2 26 0x12 2 0x10 5 0 26 1 5 150.000000 230.940108 50.000000 6.000000 -1.000000 0 0 0.000000 0.000000 0.000000 0
0x123 0 0 0x12 0 24 0x12 3 0x10 4 0 27 1 5 175.000000 187.638837 50.000000 6.000000 -2.000000 0 0 0.000000 0.000000 0.000000 0
0x124 0 0 0x12 7 31 0x12 4 0x10 1 1 28 1 4 25.000000 187.638837 50.000000 3.000000 1.000000 0 0 0.000000 0.000000 0.000000 0
0x125 0 0 0x12 5 29 0x12 5 0x10 1 1 29 1 3 50.000000 144.337567 50.000000 3.000000 0.000000 0 0 0.000000 0.000000 0.000000 0
0x126 0 0 0x12 6 30 0x12 6 0x10 1 1 30 1 4 75.000000 187.638837 50.000000 4.000000 0.000000 0 0 0.000000 0.000000 0.000000 0
0x127 0 0 0x12 4 28 0x12 7 0x10 0 1 31 1 3 100.000000 144.337567 50.000000 4.000000 -1.000000 0 0 0.000000 0.000000 0.000000 0
0x128 0 0 0x12 11 35 0x12 8 0x10 4 2 32 1 6 225.000000 187.638837 50.000000 7.000000 -3.000000 0 0 0.000000 0.000000 0.000000 0
0x129 0 0 0x12 9 33 0x12 9 0x10 0 2 33 1 3 125.000000 101.036297 50.000000 4.000000 -2.000000 0 0 0.000000 0.000000 0.000000 0
0x12a 0 0 0x12 10 34 0x12 10 0x10 4 2 34 1 5 200.000000 144.337567 50.000000 6.000000 -3.000000 0 0 0.000000 0.000000 0.000000 0
0x12b 0 0 0x12 8 32 0x12 11 0x10 0 2 35 1 4 150.000000 144.337567 50.000000 5.000000 -2.000000 0 0 0.000000 0.000000 0.000000 0
0x130 0 0 0x13 3 39 0x12 12 0x10 7 0 36 1 7 -50.000000 317.542648 50.000000 3.000000 4.000000 0 0 0.000000 0.000000 0.000000 0
0x131 0 0 0x13 1 37 0x12 13 0x10 7 0 37 1 6 -25.000000 274.241378 50.000000 3.000000 3.000000 0 0 0.000000 0.000000 0.000000 0
0x132 0 0 0x13 2 38 0x12 14 0x10 7 0 38 1 7 0.000000 317.542648 50.000000 4.000000 3.000000 0 0 0.000000 0.000000 0.000000 0
0x133 0 0 0x13 0 36 0x12 15 0x10 6 0 39 1 6 25.000000 274.241378 50.000000 4.000000 2.000000 0 0 0.000000 0.000000 0.000000 0
0x134 0 0 0x13 7 43 0x12 16 0x10 3 1 40 1 6 -125.000000 274.241378 50.000000 1.000000 5.000000 0 0 0.000000 0.000000 0.000000 0
